,titles,images,ratings,prices
0,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5008TU",https://m.media-amazon.com/images/I/71KGT3+-NXL._AC_UY218_.jpg,4.1 out of 5 stars,"₹52,073"
1,"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU",https://m.media-amazon.com/images/I/719ybm6QCaL._AC_UY218_.jpg,4.1 out of 5 stars,"₹42,990"
2,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam",https://m.media-amazon.com/images/I/61H76AyN6pL._AC_UY218_.jpg,4.1 out of 5 stars,"₹16,990"
3,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹38,600"
4,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W",https://m.media-amazon.com/images/I/71mQMASiF7L._AC_UY218_.jpg,4.1 out of 5 stars,"₹22,990"
5,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa built-in/3 month Game Pass/Grey/1.62Kg), 83EM008GIN",https://m.media-amazon.com/images/I/81epBowa4UL._AC_UY218_.jpg,4.1 out of 5 stars,"₹61,990"
6,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU",https://m.media-amazon.com/images/I/71svDE-zMXL._AC_UY218_.jpg,4.1 out of 5 stars,"₹52,490"
7,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU",https://m.media-amazon.com/images/I/7184yGb0PsL._AC_UY218_.jpg,4.1 out of 5 stars,"₹32,290"
8,"HP Laptop 14s, Intel Pentium Silver N6000, 14 inch(35.6 cm) HD (1366 x 768) Micro-Edge, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, HD Camera (Win 11, MSO, Alexa,1.46 Kg) dr3003TU",https://m.media-amazon.com/images/I/71Mr+KDWl6L._AC_UY218_.jpg,4.1 out of 5 stars,"₹25,990"
9,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8 GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005EIN",https://m.media-amazon.com/images/I/71DpS8yemAL._AC_UY218_.jpg,4.1 out of 5 stars,"₹23,390"
10,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/61CC9Mx2+aL._AC_UY218_.jpg,4.1 out of 5 stars,"₹28,999"
11,"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg,4.1 out of 5 stars,"₹45,999"
12,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W",https://m.media-amazon.com/images/I/71lYhcc++AL._AC_UY218_.jpg,4.1 out of 5 stars,"₹22,990"
